arm,task_success_rate,unsafe_rate,risk_eligible_n,risk_transition_n,risk_transition_rate,risk_ci_lower,risk_ci_upper
vla_only,0.6083333333333333,0.03333333333333333,85,45,0.5294117647058824,0.4230769230769231,0.6341463414634146
semantic_only,0.5333333333333333,0.025,78,42,0.5384615384615384,0.4050632911392405,0.6707317073170732
execution_only,0.6083333333333333,0.03333333333333333,86,43,0.5,0.38823529411764707,0.6091954022988506
dual,0.5333333333333333,0.03333333333333333,78,43,0.5512820512820513,0.4166666666666667,0.6829268292682927
